sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,notes,disj_count,min_dep_length,conj_count,mean_dep_length,token_count,verb_count,max_dep_length,class_score,flesh_reading_ease
5035,berlin-blockade,Diese Flugzeuge transportierten Nahrung und Brenn-material.,21_long,Politik|Seiten_mit_defekten_Dateilinks,2016-01-24T11:51:34Z,a87abd4ebcc677b326b5b117860e863b,0:=Diese 1:=Flugzeuge 2:=transportierten 3:=Nahrung 4:=und 5:=Brenn-material.,2,"[[3],[5]]",conjunction,0,1,0,1.5,7,1,4,0.98,31.55
5064,berliner-fernsehturm,Man kann mit einem Fahr-stuhl nach oben fahren.,8_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-07-15T18:02:33Z,af7adc773949650e35f6f40ea06c535c,0:=Man 1:=kann 2:=mit 3:=einem 4:=Fahr-stuhl 5:=nach 6:=oben 7:=fahren.,2,"[[2,4],[5,6]] ",prepositional ,0,1,0,3.12,9,1,7,1.0,114.12
1049,alex-honnold,Alex Honnold ist ein bekannter Free Solo Kletterer.,0_short,Sport|Personen|Seiten_mit_defekten_Dateilinks,2021-07-16T21:06:31Z,e54ca469914bc262b958dc327fbe1253,0:=Alex 1:=Honnold 2:=ist 3:=ein 4:=bekannter 5:=Free 6:=Solo 7:=Kletterer.,2,"[[4],[5,6,7]]",single adjective,0,1,0,2.88,9,0,6,0.99,63.36
1024,aleppo,"Und neue, moderne Wohn-blöcke gebaut.",11_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,"0:=Und 1:=neue, 2:=moderne 3:=Wohn-blöcke 4:=gebaut.",2,"[[1],[2]]",sequence of adjectives,0,1,0,2.17,7,1,5,1.0,83.32
5049,berliner-erklarung-alliierte,Die Siegermächte regierten ab sofort in ihrer eigenen Zone.,8_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2015-12-16T18:40:15Z,3d503e53a51c622cb86f9b0570441d1d,0:=Die 1:=Siegermächte 2:=regierten 3:=ab 4:=sofort 5:=in 6:=ihrer 7:=eigenen 8:=Zone.,2,"[[3,4],[5,6,7,8]] ",adverbials ,0,1,0,2.22,10,1,7,1.0,96.18
38789,repair-cafe,"Sie treffen sich,  \newline um gemeinsam kaputte Dinge zu reparieren.",1_short,Umwelt|Entsorgung,2013-08-06T10:39:17Z,eaab3232dd7a824a6a774fd2f2814e47,"0:=Sie 1:=treffen 2:=sich, 3:= 4:=\newline 5:=um 6:=gemeinsam 7:=kaputte 8:=Dinge 9:=zu 10:=reparieren.",3,"[[0,1,2],[7,8,9,10],[6]]",infinitive,0,1,0,3.42,13,2,11,0.9,52.87
12729,elbphilharmonie,Manche sagen: \newline Die Elb-philharmonie ist ist gut.,24_long,Ort|Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2016-11-03T09:24:04Z,6275ee07d0785a2da491fbb224064f23,0:=Manche 1:=sagen: 2:=\newline 3:=Die 4:=Elb-philharmonie 5:=ist 6:=ist 7:=gut.,1,,colon,0,1,0,1.29,10,1,2,0.98,80.28
1082,alexander-graham-bell,Im Jahr 1877 heiraten Alexander Graham Bell und Mabel Hubbard.,30_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=Im 1:=Jahr 2:=1877 3:=heiraten 4:=Alexander 5:=Graham 6:=Bell 7:=und 8:=Mabel 9:=Hubbard.,2,"[[0,1,2],[3,4,5,6,7,8,9]]",Jahresangabe,0,1,0,2.2,11,1,7,1.0,69.79
5002,bergwerk,In einem Berg-werk graben Menschen in der Erde.,1_short,Natur|Arbeit,2017-12-18T11:16:21Z,6897e737e0f4a3a3d2176a148dacc89b,0:=In 1:=einem 2:=Berg-werk 3:=graben 4:=Menschen 5:=in 6:=der 7:=Erde.,1,, „in der Erde graben“ is redundant,0,1,0,2.12,9,1,5,1.0,80.28
5067,berliner-fernsehturm,Der Berliner Fernsehturm ist ein Wahrzeichen der Stadt.,11_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-07-15T18:02:33Z,af7adc773949650e35f6f40ea06c535c,0:=Der 1:=Berliner 2:=Fernsehturm 3:=ist 4:=ein 5:=Wahrzeichen 6:=der 7:=Stadt.,1,,,0,1,0,1.88,9,0,5,1.0,80.28
40,abfalltrennung,Der Abfall kommt in Tonnen oder Säcke.,6_long,Entsorgung|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2016-07-28T07:55:27Z,76bf1508c054395f67a605468d76c22f,0:=Der 1:=Abfall 2:=kommt 3:=in 4:=Tonnen 5:=oder 6:=Säcke.,2,"[[4],[6]]",conjunction,0,1,0,1.57,8,1,5,1.0,89.75
1081,alexander-graham-bell,An der Universität Boston.,29_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=An 1:=der 2:=Universität 3:=Boston.,0,,"incomplete sentence, verb missing",0,1,0,1.33,5,0,2,1.0,50.5
5040,berlin-blockade,Die Berlin-Blockade war vom 23. Juni 1948 bis zum 12. Mai 1949.,0_short,Politik|Seiten_mit_defekten_Dateilinks,2016-01-24T11:51:34Z,a87abd4ebcc677b326b5b117860e863b,0:=Die 1:=Berlin-Blockade 2:=war 3:=vom 4:=23. 5:=Juni 6:=1948 7:=bis 8:=zum 9:=12. 10:=Mai 11:=1949.,2,"[[3,4,5,6],[7,8,9,10,11]] ",time span,0,1,0,2.36,12,0,9,0.99,90.77
3009,arschbombe,Eine Arsch-Bombe ist ein Wasser-Sprung.,0_short,Sport,2013-08-22T08:51:23Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Eine 1:=Arsch-Bombe 2:=ist 3:=ein 4:=Wasser-Sprung.,1,,,0,1,0,1.6,6,0,3,1.0,83.32
3010,arschfax,Der Unter-hosen-zettel ist ein Pflege-symbol.,0_long,Kleider,2014-07-15T13:07:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Der 1:=Unter-hosen-zettel 2:=ist 3:=ein 4:=Pflege-symbol.,1,,,0,1,0,1.6,6,0,3,1.0,32.56
50753,usain-bolt,Die Tochter kam am 17.5.2020 auf die Welt.,22_long,Sport|Personen,2020-08-31T14:45:34Z,6275ee07d0785a2da491fbb224064f23,0:=Die 1:=Tochter 2:=kam 3:=am 4:=17.5.2020 5:=auf 6:=die 7:=Welt.,1,,single event,0,1,0,2.0,9,1,6,0.98,118.18
9441,couch-potato,Ein Beispiel für so eine Person ist: Homer Simpson.,6_long,Schimpfwort,2014-08-10T08:25:20Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Ein 1:=Beispiel 2:=für 3:=so 4:=eine 5:=Person 6:=ist: 7:=Homer 8:=Simpson.,1,,,0,1,0,2.1,11,0,5,1.0,96.18
11530,drachenschlucht,Die Drachenschlucht ist in einem Natur-schutz-gebiet.,0_long,Ort|Seiten_mit_defekten_Dateilinks,2016-03-10T11:48:02Z,12c8e777393d6f1673ab5f7a7cd789da,0:=Die 1:=Drachenschlucht 2:=ist 3:=in 4:=einem 5:=Natur-schutz-gebiet.,1,,,0,1,0,1.67,7,0,4,0.64,73.85
48592,ubung-japantown,In Deutschland ist die größte Japan-town in Düsseldorf.,0_long,Stadt|Seiten_mit_defekten_Dateilinks,2023-05-12T06:56:39Z,48f66906899cc4a9477b6c9e32ff4424,0:=In 1:=Deutschland 2:=ist 3:=die 4:=größte 5:=Japan-town 6:=in 7:=Düsseldorf.,1,,,0,1,0,2.5,9,0,6,1.0,71.82
4790,behindertenreitsport,Die Reiter können zum Beispiel schlecht sehen.,11_long,Sport|Paralympics,2012-01-11T12:08:40Z,d4171b2c36772be4cad75ef4078874bd,0:=Die 1:=Reiter 2:=können 3:=zum 4:=Beispiel 5:=schlecht 6:=sehen.,1,,,0,1,0,2.0,8,1,5,1.0,64.37
10869,dieter-hildebrandt,Er hat an der Ludwig-Maximilians-Universität in München studiert.,2_long,Personen,2013-11-24T20:10:15Z,28d34f2e053dee2c0e9399a7924cd978,0:=Er 1:=hat 2:=an 3:=der 4:=Ludwig-Maximilians-Universität 5:=in 6:=München 7:=studiert.,2,"[[2,4],[5,6]]",„in“ indicate,0,1,0,3.0,9,1,7,1.0,21.06
41023,schokokuss,Ein Schoko-kuss ist eine Süßware.,0_long,Essen_und_Trinken,2015-01-25T12:49:24Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Ein 1:=Schoko-kuss 2:=ist 3:=eine 4:=Süßware.,1,,,0,1,0,1.6,6,0,3,0.98,117.16
20010,groot,Groot ist ein Außerirdischer.,2_short,Comic,2017-12-20T17:47:27Z,28d34f2e053dee2c0e9399a7924cd978,0:=Groot 1:=ist 2:=ein 3:=Außerirdischer.,1,,,0,1,0,1.75,5,0,3,1.0,75.88
13118,endal,Endal war bei sehr vielen Hunde-wettbewerben dabei.,13_long,Tiere|Geschichte,2015-03-04T13:00:44Z,ab8b95b239ab89dbdb8f1d627a1f238a,0:=Endal 1:=war 2:=bei 3:=sehr 4:=vielen 5:=Hunde-wettbewerben 6:=dabei.,1,,,0,1,0,2.57,8,0,6,1.0,38.99
40092,salamitaktik,Das Ziel der Salamitaktik kann sein: • jemanden hin-halten,0_long,Ohne_Kategorie,2012-12-16T13:05:41Z,72fb5f8156adf1b638fc9bd1fa6cdbcf,0:=Das 1:=Ziel 2:=der 3:=Salamitaktik 4:=kann 5:=sein: 6:=• 7:=jemanden 8:=hin-halten,1,,,0,1,0,1.75,10,1,4,0.83,46.44
44334,stilblute,"Leider bekomme ich keine Katze,",5_long,Sprache,2014-04-02T07:33:03Z,eaab3232dd7a824a6a774fd2f2814e47,"0:=Leider 1:=bekomme 2:=ich 3:=keine 4:=Katze,",1,,,0,1,0,2.0,6,1,4,1.0,100.24
